ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,Node__Field_12_0_0_63534_001,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
679569,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,26545,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,905
679573,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,26545,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,324
679724,42,0,0,6,0,0,0,1,1,0,0,0,0,0,0,27559,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,0,27561
679778,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,29131,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2687
679780,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2690,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2689
679873,23,0,0,6,0,0,3000,1,1,0,0,0,0,0,0,28757,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28756
679927,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3054,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,2601
680114,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2676,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,742
680258,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6591,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2095
680524,23,0,0,6,0,0,7000,1,1,0,0,0,0,0,0,8732,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2834
680565,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3602,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3582
680606,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3260,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3284
680733,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3322,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3338
680754,23,0,0,6,0,0,9000,1,1,0,0,0,0,0,0,26546,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2148
680795,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,28598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2652
680892,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,368736,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,3286
680893,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4160,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4161
681078,23,0,0,6,0,0,1000,1,1,0,0,0,0,0,0,5857,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1949
681194,23,0,1,6,0,0,20000,1,1,0,0,0,0,0,0,13535,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,1515
681213,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,11327,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1856
681214,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,18461,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1856
681233,23,0,0,6,0,0,2000,0,1,0,0,0,0,0,0,3137,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,2893
681398,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,11329,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1857
681399,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,18461,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1857
681588,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,744,0,1,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,20,0,3424
681592,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3639,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3637
681617,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4389
681651,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3391,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3417
681652,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3419,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3418
681664,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4388
681673,42,0,0,6,1,0,0,0,1,0,0,0,0,0,0,3393,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3394
681722,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,744,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3616
681814,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4240,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4241
681920,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3514,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3512
681975,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3322,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3235
681986,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3510,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3509
682044,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3391,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8876
682047,42,0,2,6,0,0,0,0,1,0,0,0,0,0,0,3439,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,3439
682048,42,0,0,6,1,0,0,0,1,0,0,0,0,0,0,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3440
682092,42,0,2,6,0,0,0,0,1,0,0,0,0,0,0,3439,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,3436
682112,23,0,0,6,0,0,15000,0,1,0,0,0,0,0,0,3585,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3584
682141,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3826,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3825
682229,23,0,1,6,0,0,8000,0,1,0,0,0,0,0,0,3271,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3269
682261,23,0,0,6,0,0,15000,0,1,0,0,0,0,0,0,3587,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,3586
682263,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4114
682264,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4109,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4115
682284,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5727,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4496
682296,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5726,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4494
682330,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4139,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4140
682333,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4143,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4142
682359,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4282,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4283
682364,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4390
682379,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4280,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4279
682417,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,26651,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5308
682422,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4285,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4284
682425,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5727,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4495
682435,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4316,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4315
682436,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4150,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4317
682438,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4137,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4138
682500,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4112
682551,23,0,1,6,0,0,3000,0,1,0,0,0,0,0,0,5113,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5111
682583,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4387
682617,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5726,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4493
682636,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4108,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4113
682654,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4244,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4245
682708,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4524,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4525
682727,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,4049,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4048
682780,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,924,0,0,0,0,0,0,0,1,0,5099
682804,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5105,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5104
682808,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,4045,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4044
682823,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,2647,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5103
682904,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4940,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4144
682910,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,3617,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4050
682921,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4243,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4242
682934,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4050,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4051
683046,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5480,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5345
683050,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4950,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4951
683065,23,0,0,6,0,0,2000,0,1,0,0,0,0,0,0,5251,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5250
683087,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5341
683092,23,0,0,6,0,0,2000,0,1,0,0,0,0,0,0,5729,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5728
683115,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5366,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5369
683117,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5363,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5364
683145,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5301
683162,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,5016,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4972
683166,0,0,2,64,0,0,0,1,1,0,0,0,0,0,0,7922,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5696
683193,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5431
683204,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5531,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5354
683206,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5365,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5368
683230,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19705,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5004
683264,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5430
683266,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5343
683268,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5344
683280,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5531,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5554
683285,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,754,0,0,0,0,0,0,0,1,0,4975
683301,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,5607,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5608
683324,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19706,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5005
683354,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5342
683356,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,4937,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4932
683408,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6275,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6276
683482,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4135,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4136
683495,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4134,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4133
683527,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,7268,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5143
683529,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,7269,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5144
683538,42,0,1,6,0,0,0,1,1,0,0,0,0,0,0,15571,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5118
683562,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,19105,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5202
683598,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5480,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5346
683634,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19709,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5007
683661,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5164,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5205
683664,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5367,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5370
683683,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19708,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5006
683710,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5480,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5513
683778,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5349
683795,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,758,0,0,0,0,0,0,0,1,0,4977
683797,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,760,0,0,0,0,0,0,0,1,0,4978
683804,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5376,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5377
683817,23,0,1,6,0,0,1000,0,1,0,0,0,0,0,0,8136,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6271
683820,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5649,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5642
683844,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5164,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7095
683846,0,0,1,64,0,0,0,1,1,0,0,0,0,0,0,18191,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26030
683867,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3600,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6474
683924,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,6581,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6580
683939,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5752
683946,23,0,1,6,0,0,1000,0,1,0,0,0,0,0,0,7022,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7023
683953,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5531,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5353
683958,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5751
683965,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5976
683992,23,0,1,6,0,0,3000,0,1,0,0,0,0,0,0,6714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,6716
684013,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6946,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6947
684017,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5649,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5643
684059,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5432
684160,23,0,1,6,0,0,1000,0,1,0,0,0,0,0,0,6955,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6974
684171,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6497,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6498
684179,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,8418,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8417
684181,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,8419,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8416
684196,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5648,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5638
684198,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5648,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5639
684203,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5648,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5640
684214,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5531,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5553
684226,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5648,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5641
684284,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5480,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5427
684288,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5350
684296,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6817,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6820
684297,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6816,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6821
684298,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6819,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6822
684320,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5755
684333,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,7270,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5145
684345,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5756
684363,0,0,0,64,0,0,0,1,1,0,0,0,0,0,0,20511,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5246
684370,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5351
684372,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5352
684426,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5977
684462,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5550
684469,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5551
684509,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5598,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5979
684522,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5549
684532,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5530,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5552
684535,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5753
684537,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5754
